,team_number,ELO,Qualification_matches_played
0,1,1500,0
1,7,1500,0
2,18,1500,0
3,22,1500,0
4,25,1500,0
5,40,1500,0
6,48,1500,0
7,49,1500,0
8,50,1500,0
9,51,1500,0
10,54,1500,0
11,72,1500,0
12,92,1500,0
13,112,1500,0
14,118,1500,0
15,123,1500,0
16,124,1500,0
17,127,1500,0
18,130,1500,0
19,133,1500,0
20,149,1500,0
21,187,1500,0
22,194,1500,0
23,201,1500,0
24,202,1500,0
25,207,1500,0
26,208,1500,0
27,226,1500,0
28,237,1500,0
29,247,1500,0
30,248,1500,0
31,251,1500,0
32,252,1500,0
33,265,1500,0
34,267,1500,0
35,288,1500,0
36,289,1500,0
37,290,1500,0
38,291,1500,0
39,293,1500,0
40,310,1500,0
41,327,1500,0
42,354,1500,0
43,358,1500,0
44,359,1500,0
45,365,1500,0
46,367,1500,0
47,369,1500,0
48,373,1500,0
49,384,1500,0
50,389,1500,0
51,391,1500,0
52,392,1500,0
53,395,1500,0
54,404,1500,0
55,406,1500,0
56,408,1500,0
57,409,1500,0
58,417,1500,0
59,436,1500,0
60,450,1500,0
61,479,1500,0
62,506,1500,0
63,516,1500,0
64,519,1500,0
65,524,1500,0
66,525,1500,0
67,535,1500,0
68,542,1500,0
69,596,1500,0
70,607,1500,0
71,609,1500,0
72,636,1500,0
73,641,1500,0
74,652,1500,0
75,654,1500,0
76,668,1500,0
77,673,1500,0
78,689,1500,0
79,701,1500,0
80,724,1500,0
81,731,1500,0
82,750,1500,0
83,753,1500,0
84,755,1500,0
85,772,1500,0
86,965,1500,0
87,1001,1500,0
88,1002,1500,0
89,1369,1500,0
90,1622,1500,0
91,1885,1500,0
92,2408,1500,0
93,2425,1500,0
94,2818,1500,0
95,2827,1500,0
96,2835,1500,0
97,2836,1500,0
98,2844,1500,0
99,2845,1500,0
100,2856,1500,0
101,2858,1500,0
102,2866,1500,0
103,2867,1500,0
104,2879,1500,0
105,2887,1500,0
106,2897,1500,0
107,2898,1500,0
108,2901,1500,0
109,2923,1500,0
110,2930,1500,0
111,2939,1500,0
112,2944,1500,0
113,2993,1500,0
114,3006,1500,0
115,3032,1500,0
116,3033,1500,0
