,Description,Red Alliance pts,Blue Alliance pts,Red Alliance Teams,Blue Alliance Teams,Teams On Field,Teams Out Of Field
0,Qualification 1,48,15,"[24976, 24945]","[24814, 24240]","[24976, 24945, 24814, 24240]",[]
1,Qualification 2,69,41,"[23656, 24198]","[24234, 24094]","[23656, 24234, 24094, 24198]",[]
2,Qualification 3,35,44,"[16388, 24237]","[23651, 23758]","[16388, 24237, 23651, 23758]",[]
3,Qualification 4,141,2,"[21704, 24235]","[16818, 21735]","[21704, 24235, 16818, 21735]",[]
4,Qualification 5,41,46,"[24238, 23660]","[24233, 24236]","[24233, 24236, 24238, 23660]",[]
5,Qualification 6,56,55,"[24198, 6584]","[22372, 23656]","[22372, 24198, 6584, 23656]",[]
6,Qualification 7,24,35,"[24234, 24945]","[24235, 16388]","[24235, 24234, 24945]",[16388]
7,Qualification 8,23,11,"[24094, 24240]","[16818, 24237]","[24094, 16818, 24240]",[24237]
8,Qualification 9,17,12,"[21735, 24976]","[23758, 24238]","[23758, 24238, 21735, 24976]",[]
9,Qualification 10,46,67,"[24233, 23660]","[24814, 6584]","[24814, 6584, 24233, 23660]",[]
10,Qualification 11,105,23,"[24236, 21704]","[23651, 22372]","[23651, 22372, 24236, 21704]",[]
11,Qualification 12,22,14,"[16818, 24198]","[24238, 24945]","[24238, 16818, 24198]",[24945]
12,Qualification 13,109,27,"[23656, 24814]","[24237, 21735]","[24237, 21735, 23656, 24814]",[]
13,Qualification 14,35,31,"[24236, 24235]","[16388, 24094]","[24236, 24235, 16388, 24094]",[]
14,Qualification 15,34,60,"[23651, 6584]","[24976, 24234]","[24976, 24234, 23651, 6584]",[]
15,Qualification 16,56,88,"[22372, 23758]","[23660, 24240]","[22372, 23758, 23660, 24240]",[]
16,Qualification 17,23,63,"[24233, 24945]","[24237, 21704]","[24233, 24945, 21704]",[24237]
17,Qualification 18,84,14,"[24238, 23651]","[24094, 24814]","[24094, 24238, 23651, 24814]",[]
18,Qualification 19,26,27,"[21735, 16388]","[6584, 22372]","[21735, 16388, 6584, 22372]",[]
19,Qualification 20,33,18,"[24235, 23660]","[24976, 24198]","[24235, 23660, 24976, 24198]",[]
20,Qualification 21,33,15,"[24234, 23758]","[16818, 24233]","[16818, 24233, 24234, 23758]",[]
21,Qualification 22,3,133,"[24240, 24236]","[21704, 23656]","[24240, 21704, 23656, 24236]",[]
22,Qualification 23,82,19,"[6584, 24237]","[24238, 24235]","[24238, 24235, 6584, 24237]",[]
23,Qualification 24,27,29,"[24094, 22372]","[24233, 24976]","[24094, 22372, 24233, 24976]",[]
24,Qualification 25,20,69,"[24814, 24234]","[23758, 21704]","[23758, 24814, 24234, 21704]",[]
25,Qualification 26,14,38,"[24240, 16388]","[24198, 21735]","[24240, 16388, 24198, 21735]",[]
26,Qualification 27,67,47,"[16818, 23656]","[23651, 23660]","[16818, 23656, 23651, 23660]",[]
27,Qualification 28,21,36,"[24236, 23758]","[24945, 6584]","[24945, 24236, 23758, 6584]",[]
28,Qualification 29,33,37,"[24237, 24238]","[24234, 22372]","[24237, 24238, 24234, 22372]",[]
29,Qualification 30,85,44,"[16388, 21704]","[24976, 23656]","[24976, 23656, 16388, 21704]",[]
30,Qualification 31,149,2,"[24233, 23651]","[24240, 24235]","[24240, 24233, 24235, 23651]",[]
31,Qualification 32,32,22,"[16818, 24814]","[24236, 24198]","[16818, 24236, 24198, 24814]",[]
32,Qualification 33,25,31,"[24094, 21735]","[23660, 24945]","[23660, 24945, 24094, 21735]",[]
33,Semifinal 1 Match 1,119,75,"[21704, 24976, 23651]","[24235, 24233, 21735]","[21704, 24976, 24233, 21735]","[23651, 24235]"
34,Semifinal 2 Match 1,94,72,"[24814, 23656, 6584]","[23758, 24236, 24198]","[23758, 24198, 23656, 6584]","[24236, 24814]"
35,Semifinal 1 Match 2,131,55,"[24976, 21704, 23651]","[24235, 24233, 21735]","[21704, 23651, 24235, 21735]","[24976, 24233]"
36,Semifinal 2 Match 2,54,20,"[24814, 23656, 6584]","[24236, 23758, 24198]","[24236, 24198, 24814, 6584]","[23758, 23656]"
37,Finals Match 1,71,109,"[24976, 21704, 23651]","[6584, 23656, 24814]","[24976, 23651, 6584, 23656]","[21704, 24814]"
38,Finals Match 2,81,54,"[23651, 24976, 21704]","[23656, 24814, 6584]","[24814, 6584, 23651, 21704]","[23656, 24976]"
39,Finals Match 3,93,70,"[21704, 23651, 24976]","[23656, 24814, 6584]","[21704, 23656, 6584, 23651]","[24814, 24976]"
